Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3383","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","88.64","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","97.12","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2974","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","62.72","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","73.17","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","409","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","25.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","4","Algérie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","23.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3542","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","104.05","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","146.2","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2472","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","41.29","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","66.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1070","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","62.77","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","79.85","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2441","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","53.59","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","60.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2220","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","37.08","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","44.86","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","221","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","16.51","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","15.89","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2446","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","80.43","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","92.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","1699","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","28.72","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","38.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","748","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","51.71","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","53.11","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3299","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","88.57","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","105.48","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2841","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","54.35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","75.23","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","459","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","34.22","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","30.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3269","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","105.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","118.44","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2242","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","38.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","43.8","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1026","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","67.66","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","74.64","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3072","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","97.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","95.9","Fc","Donnée calculée"
