Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","4144","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","72","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","1","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","6","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","6","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","18409","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","386","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","9323","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","6621","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","3204","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","628","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","18","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","6","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","2459","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","1077","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","692","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","2276","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","1","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","70","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","53","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","8","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","2","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","3577","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","1770","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","9200","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","3196","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","17","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","23","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","149","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","55","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","5548","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","755","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","805","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","23704","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","79","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","783","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","4","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","2062","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","48","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","547","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","10","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","107","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","59","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","1","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","7","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","19","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","7933","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","530","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","2980","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","380","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","30","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","1796","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","36","S","Donn?es standardis?es"
